Station,median_dry,average_dry,sd_dry
J01-10004-1 (J01P01),0.0885,0.1688953488372093,0.7102938610892306
J01-10017-1 (J01TBN4),0.052,2.21381512605042,4.130523053360862
J01-9005-1 (J03P05),0.0035,0.07141129032258065,0.7259725409944899
J01-9005-3,0.235,1.1315148514851485,6.169586497673667
J01-9046-1,0.002,0.003744186046511628,0.01727973226895665
J01-9046-2,0.002,0.010633720930232559,0.07959149813609112
J01-9066-1 (J01P04),0.005,0.03387209302325581,0.22300532584895175
J01-9082-2,0.042,0.058458333333333334,0.18090013965981927
J01-9082-3,0,4.1666666666666665e-5,2.004237028862672e-4
J01-9082-4,0.031,0.04430921052631579,0.11885514772095467
J01-9131-1 (J01P28),0.012,0.03894186046511628,0.3066744032071854
J01-9144-1 (J01P23),0.006,0.026854651162790698,0.23811849433981652
J01-9224-1 (J01P24),0.011,0.017261627906976745,0.05135492976696112
J01-9273-1,0,0.03650617283950617,0.20455128473421955
J01-9377-1,0.008,0.030733333333333335,0.04937388937870858
J01-9992-1 (J01P27),0.009000000000000001,0.08247222222222222,0.40131814854203435
J03-9215-3,0.027,0.03756521739130435,0.07450776310751132
J03-9234-6,0.04,0.07448407643312102,0.4162058416570219
J03-9368-1 (J03TBN1),0,0.17115116279069767,2.0308702194776536
J05-9800-2,0,0.08761904761904762,0.40152091803422596
J06-9079-1 (J06P03),0.028,0.03796470588235294,0.07485007985153731
J07-9109-4 (J07P02),0.004,2.705290909090909,18.904573055931493
J07-9110-2,0.001,0.0038541666666666668,0.007861939183134034
J07-9110-3,0,0.010278145695364239,0.09005088627662305
