FACILITYID,EMC_Group,RC,RC_WMAcf,EMC_Group_Area,Area_Rainfall,Trib_LU_Volume_RC,Trib_LU_Volume_RC_WMAcf,TotalVol_RC,TotalVol_RC_WMAcf,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L",RC_Group,RC_M,LSPC_LU_DESC,RC_WMA
DP02-12131-1,developed open space,0.217,0.02482463228887089,0.935226112586903,28.29,0.4784406366119264,0.05473323905965147,9.6847637506758,1.1794239009276395,0.009537940227651573,0.17443213542905323,1729143611305.2114,0.030760878866821544,90.62901762853248,16.360613340567344,2046.1141600173212,0.31790501786212083,0.38929079228204466,Developed Open Space,0.3977525572812228,OSDEV,0.217
DP02-12131-1,open space,0.078,0.00774399373093166,0.2756776994239221,28.29,0.05069299375856791,0.00503290033164753,9.6847637506758,1.1794239009276395,0.007635799338080808,0.168372118511421,65356637716.24376,0.05209495314943674,37.461057481386824,4.165810640248232,5323.354809567731,0.22420454778825966,0.3719329292446613,Open Space,0.3977525572812228,OSLOW,0.078
DP02-12131-1,single family,0.405,0.04866224438852074,6.221590363952311,28.29,5.940296709622117,0.7137485684542149,9.6847637506758,1.1794239009276395,0.23294412752178498,0.4475818437022427,1520336831645.2805,0.034307338096029746,78.49681807103961,15.264581090515108,1878.7991354228207,0.45877527735016677,1.5477378242501247,Single Family Residential,0.3977525572812228,RESSFH,0.405
DP02-12131-1,surface street,0.471,0.05945984615668794,2.895698924184405,28.29,3.21533341068319,0.4059091930821256,9.6847637506758,1.1794239009276395,0.29457881900170496,0.507648419308731,1445171987546.4429,0.04713558630861612,85.89772407603,17.555018253697398,1567.5490114914533,0.9926644410779962,2.1441931728424066,Streets and Roads,0.3977525572812228,TRANS,0.471
DP04-12015-1,agriculture,0.222,0.03661967801020217,12.149132120499766,28.29,6.358430532245361,1.0488453997345202,76.32652942260341,9.508340735679612,1.1594213789273091,4.038780705907013,453068758598.1479,0.29793633553407084,3285.135524336547,411.8215514693852,84678.63841150793,1.4566030652104254,13.110436736768518,Agriculture,0.18097054271416224,OSAGIR,0.222
DP04-12015-1,business,0.422,0.05530696556692773,2.041358587641067,28.29,2.0308762112935304,0.2661649305419524,76.32652942260341,9.508340735679612,2.1775756182413395,3.2189075052942924,13666245018317.041,0.1898111797633364,730.1780164204424,98.63999476744658,7820.7378225206085,12.137761407992949,19.33421852551716,Education,0.18097054271416224,EDU,0.422
DP04-12015-1,developed open space,0.217,0.02482463228887089,20.415277859008583,28.29,10.443996808916962,1.1947851631682236,76.32652942260341,9.508340735679612,0.07516939949785363,1.3747159827356803,13627542614551.07,0.24242936496305967,714.2557690251488,128.9395247688426,16125.61717116433,2.505439195432439,3.0680371639412165,Developed Open Space,0.18097054271416224,OSDEV,0.21699999999999997
DP04-12015-1,multi-family,0.485,0.07334900151448209,13.723907487392538,28.29,15.691744272241031,2.3731418028648936,76.32652942260341,9.508340735679612,2.0419105097974874,3.0216915218481035,13772054518722.053,0.20704620771984744,855.6485782780924,110.64372887622925,7861.127068570078,6.499943324732258,13.21818767949373,Multi-family Residential,0.18097054271416224,RESMF,0.485
DP04-12015-1,open space,0.078,0.00774399373093166,108.01239432126135,28.29,19.861859129765147,1.971924520327552,76.32652942260341,9.508340735679612,0.060178449144146835,1.32695642230935,515081777938.38477,0.41056520083436937,295.234099629471,32.831143493790826,41953.85741557985,1.7669770222580772,2.931238220988796,Open Space,0.18097054271416224,OSFOR,0.078
DP04-12015-1,open space,0.078,0.00774399373093166,108.01239432126135,28.29,19.861859129765147,1.971924520327552,76.32652942260341,9.508340735679612,0.060178449144146835,1.32695642230935,515081777938.38477,0.41056520083436937,295.234099629471,32.831143493790826,41953.85741557985,1.7669770222580772,2.931238220988796,Open Space,0.18097054271416224,OSLOW,0.078
